ააგო	ɑ ɑ ɡ ɔ
ვერცხლის	v ɛ r t s χ l ɪ s
ვერძი	v ɛ r d z i
ვეტერანი	v ɛ tʼ ɛ r ɑ n ɪ
ვეფხისტყაოსანი	v ɛ pʰ x i s tʼ qʼ ɑ ɔ s ɑ n i
ვექტორი	v ɛ kʰ tʼ ɔ r ɪ
ვეწევი	v ɛ t sʼ ɛ v i
ვთქვათ	v tʰ kʰ v ɑ tʰ
ვთქვი	v tʰ kʰ v i
ვიდეო	v ɪ d ɛ ɔ
ვიდრე	v i d r ɛ
ვიზუალური	v ɪ z u ɑ l u r ɪ
ვითარება	v i tʰ ɑ r ɛ b ɑ
ვითომ	v i tʰ ɔ m
ვილა	v ɪ l ɑ
ვინსენტი	v ɪ n s ɛ n tʼ ɪ
ვირტუალური	v ɪ r tʼ u ɑ l u r ɪ
ვირუსი	v ɪ r u s ɪ
ვის	v i s
ვისვენებ	v i s v ɛ n ɛ b
ვიქტორია	v ɪ kʰ tʼ ɔ r ɪ ɑ
ვიღაც	v i ɣ ɑ t s
ვიწრო	v i t sʼ r ɔ
ვლაპარაკობ	v l ɑ pʼ ɑ r ɑ kʼ ɔ b
ვმუშაობ	v m u ʃ ɑ ɔ b
ვნახე	v n ɑ x ɛ
ვოკალური	v ɔ kʼ ɑ l u r ɪ
ვრცელი	v r t s ɛ l i
ვწუხვარ	v t sʼ u x v ɑ r
ზაირი	z ɑ ɪ r ɪ
ზალა	z ɑ l ɑ
ზამთარი	z ɑ m tʰ ɑ r i
ზარი	z ɑ r i
ზაფხული	z ɑ pʰ x u l i
ზაფხულის	z ɑ pʰ χ u l ɪ s
ზაფხულს	z ɑ pʰ χ u l s
ზე	z ɛ
ზეგავლენა	z ɛ ɡ ɑ v l ɛ n ɑ
ზედ	z ɛ d
ზედმეტი	z ɛ d m ɛ tʼ i
ზევით	z ɛ v ɪ tʰ
ზეიმი	z ɛ ɪ m ɪ
ზემო	z ɛ m ɔ
ზემოდან	z ɛ m ɔ d ɑ n
ზემოთ	z ɛ m ɔ tʰ
ზემოქმედება	z ɛ m ɔ kʰ m ɛ d ɛ b ɑ
ზეპირად	z ɛ pʼ ɪ r ɑ d
ზეპირი	z ɛ pʼ ɪ r ɪ
ზერელე	z ɛ r ɛ l ɛ
ზეციური	z ɛ t s ɪ u r ɪ
ზვიგენი	z v ɪ ɡ ɛ n ɪ
ზიანი	z ɪ ɑ n ɪ
ზიარება	z i ɑ r ɛ b ɑ
ზოგადად	z ɔ ɡ ɑ d ɑ d
ზოგავს	z ɔ ɡ ɑ v s
ზოგიერთი	z ɔ ɡ i ɛ r tʰ i
ზოგჯერ	z ɔ ɡ d ʒ ɛ r
ზომა	z ɔ m ɑ
ზრდა	z r d ɑ
ზუმბა	z u m b ɑ
ზურაბიშვილი	z u r ɑ b i ʃ v i l i
ზურგზე	z u r ɡ z ɛ
ზურგი	z u r ɡ i
ზუსტად	z u s tʼ ɑ d
ზუსტი	z u s tʼ i
ზღაპარი	z ɣ ɑ pʼ ɑ r i
ზღვარი	z ʁ v ɑ r ɪ
ზღვის	z ʁ v ɪ s
თავად	tʰ ɑ v ɑ d
თავადი	tʰ ɑ v ɑ d i
თავაშვებული	tʰ ɑ v ɑ ʃ v ɛ b u l ɪ
თავგადასავალი	tʰ ɑ v ɡ ɑ d ɑ s ɑ v ɑ l i
თავდაპირველად	tʰ ɑ v d ɑ pʼ ɪ r v ɛ l ɑ d
თავდაპირველი	tʰ ɑ v d ɑ pʼ ɪ r v ɛ l ɪ
თავდასხმა	tʰ ɑ v d ɑ s x m ɑ
თავდაყირა	tʰ ɑ v d ɑ qʼ ɪ r ɑ
თავდაცვა	tʰ ɑ v d ɑ t s v ɑ
თავი	tʰ ɑ v i
თავისებურება	tʰ ɑ v ɪ s ɛ b u r ɛ b ɑ
თავისებური	tʰ ɑ v i s ɛ b u r i
თავისთვის	tʰ ɑ v ɪ s tʰ v ɪ s
თავისი	tʰ ɑ v i s i
თავისუფალი	tʰ ɑ v i s u pʰ ɑ l i
თავისუფლად	tʰ ɑ v ɪ s u pʰ l ɑ d
თავისუფლება	tʰ ɑ v i s u pʰ l ɛ b ɑ
თავკომბალა	tʰ ɑ v kʼ ɔ m b ɑ l ɑ
თავმდაბალი	tʰ ɑ v m d ɑ b ɑ l ɪ
თავმჯდომარე	tʰ ɑ v m d ʒ d ɔ m ɑ r ɛ
თავქარიანი	tʰ ɑ v kʰ ɑ r ɪ ɑ n ɪ
თავშეკავება	tʰ ɑ v ʃ ɛ kʼ ɑ v ɛ b ɑ
თავხედი	tʰ ɑ v x ɛ d i
თამადა	tʰ ɑ m ɑ d ɑ
თამამად	tʰ ɑ m ɑ m ɑ d
თამამი	tʰ ɑ m ɑ m i
თამარი	tʰ ɑ m ɑ r ɪ
თამაში	tʰ ɑ m ɑ ʃ i
თამაშობს	tʰ ɑ m ɑ ʃ ɔ b s
თანაბარი	tʰ ɑ n ɑ b ɑ r i
თანაბრად	tʰ ɑ n ɑ b r ɑ d
თანამდებობა	tʰ ɑ n ɑ m d ɛ b ɔ b ɑ
თანამედროვე	tʰ ɑ n ɑ m ɛ d r ɔ v ɛ
თანამემამულე	tʰ ɑ n ɑ m ɛ m ɑ m u l ɛ
თანამშრომელი	tʰ ɑ n ɑ m ʃ r ɔ m ɛ l i
თანასწორი	tʰ ɑ n ɑ s t sʼ ɔ r i
თანასწორობა	tʰ ɑ n ɑ s t sʼ ɔ r ɔ b ɑ
თანაშემწე	tʰ ɑ n ɑ ʃ ɛ m t sʼ ɛ
თანახმა	tʰ ɑ n ɑ x m ɑ
თანახმად	tʰ ɑ n ɑ χ m ɑ d
თანმიმდევრულად	tʰ ɑ n m ɪ m d ɛ v r u l ɑ d
თანმხლები	tʰ ɑ n m χ l ɛ b ɪ
თანხმობა	tʰ ɑ n χ m ɔ b ɑ
თასი	tʰ ɑ s i
თაღლითი	tʰ ɑ ɣ l i tʰ i
თბილად	tʰ b ɪ l ɑ d
თბილი	tʰ b i l i
თბილისი	tʰ b i l i s i
თბილისმა	tʰ b ɪ l ɪ s m ɑ
თეატრალური	tʰ ɛ ɑ tʼ r ɑ l u r ɪ
თეატრი	tʰ ɛ ɑ tʼ r i
თებერვალი	tʰ ɛ b ɛ r v ɑ l i
თევდორე	tʰ ɛ v d ɔ r ɛ
თევზი	tʰ ɛ v z i
თელავს	tʰ ɛ l ɑ v s
თემა	tʰ ɛ m ɑ
თეორია	tʰ ɛ ɔ r ɪ ɑ
თეორიული	tʰ ɛ ɔ r ɪ u l ɪ
თვალი	tʰ v ɑ l i
თვალწარმტაცი	tʰ v ɑ l t sʼ ɑ r m tʼ ɑ t s ɪ
თვე	tʰ v ɛ
თვითნება	tʰ v i tʰ n ɛ b ɑ
თვითნებურად	tʰ v ɪ tʰ n ɛ b u r ɑ d
თვითონ	tʰ v i tʰ ɔ n
თითი	tʰ i tʰ i
თითო	tʰ i tʰ ɔ
თითქმის	tʰ ɪ tʰ kʰ m ɪ s
თინა	tʰ i n ɑ
თინათინი	tʰ ɪ n ɑ tʰ ɪ n ɪ
თიხა	tʰ i x ɑ
თოვლი	tʰ ɔ v l i
თონე	tʰ ɔ n ɛ
თორე	tʰ ɔ r ɛ
თორემ	tʰ ɔ r ɛ m
თორი	tʰ ɔ r i
თორმეტი	tʰ ɔ r m ɛ tʼ i
თოფი	tʰ ɔ pʰ i
თოჯინა	tʰ ɔ d ʒ i n ɑ
თუ	tʰ u
თუმცა	tʰ u m t s ɑ
თურქეთი	tʰ u r kʰ ɛ tʰ i
თურქეთის	tʰ u r kʰ ɛ tʰ ɪ s
თურქეთმა	tʰ u r kʰ ɛ tʰ m ɑ
თურქული	t ʊ ɾ kʰ ʊ l ɪ
თუშეთი	tʰ u ʃ ɛ tʰ i
თქვა	tʰ kʰ v ɑ
თქვენთვის	tʰ kʰ v ɛ n tʰ v i s
თქმით	tʰ kʰ m ɪ tʰ
თხა	tʰ x ɑ
თხუთმეტი	tʰ x u tʰ m ɛ tʼ i
იაპონელი	ɪ ɑ pʼ ɔ n ɛ l ɪ
იაპონია	i ɑ pʼ ɔ n i ɑ
იაპონიის	ɪ ɑ pʼ ɔ n ɪ ɪ s
იაპონური	ɪ ɑ pʼ ɔ n u r ɪ
იარა	i ɑ r ɑ
იარაღი	i ɑ r ɑ ɣ i
იატაკი	i ɑ tʼ ɑ kʼ i
იაფად	ɪ ɑ pʰ ɑ d
იაფი	i ɑ pʰ i
იგებს	i ɡ ɛ b s
იდეა	ɪ d ɛ ɑ
იდეოლოგიური	ɪ d ɛ ɔ l ɔ ɡ ɪ u r ɪ
იები	i ɛ b i
ივანე	i v ɑ n ɛ
ივანიშვილი	i v ɑ n i ʃ v i l i
ივლისი	i v l i s i
ივნისი	i v n i s i
ივნისის	ɪ v n ɪ s ɪ s
ივნისს	ɪ v n ɪ s s
იზოლაცია	ɪ z ɔ l ɑ t s ɪ ɑ
ილია	i l i ɑ
იმაზე	ɪ m ɑ z ɛ
იმამი	ɪ m ɑ m ɪ
იმარჯვებს	i m ɑ r d ʒ v ɛ b s
იმდენად	ɪ m d ɛ n ɑ d
იმედი	i m ɛ d i
იმერეთის	ɪ m ɛ r ɛ tʰ ɪ s
იმით	ɪ m ɪ tʰ
იმიტაცია	ɪ m ɪ tʼ ɑ t s ɪ ɑ
იმიტომ	ɪ m ɪ tʼ ɔ m
იმპერატორი	ɪ m pʼ ɛ r ɑ tʼ ɔ r ɪ
იმპერიას	ɪ m pʼ ɛ r ɪ ɑ s
იმპერიის	ɪ m pʼ ɛ r ɪ ɪ s
იმპერიული	ɪ m pʼ ɛ r ɪ u l ɪ
იმპიჩმენტი	ɪ m pʼ ɪ t ʃ m ɛ n tʼ ɪ
იმპორტი	ɪ m pʼ ɔ r tʼ ɪ
იმპულსი	ɪ m pʼ u l s ɪ
ინგლისელი	ɪ n ɡ l ɪ s ɛ l ɪ
ინგლისი	i n ɡ l i s i
ინგლისის	ɪ n ɡ l ɪ s ɪ s
ინგლისმა	ɪ n ɡ l ɪ s m ɑ
ინდაური	ɪ n d ɑ u r ɪ
ინდექსი	ɪ n d ɛ kʰ s ɪ
ინდოეთი	i n d ɔ ɛ tʰ i
ინდოეთის	ɪ n d ɔ ɛ tʰ ɪ s
ინდოეთს	ɪ n d ɔ ɛ tʰ s
ინდოელი	ɪ n d ɔ ɛ l ɪ
ინდური	ɪ n d u r ɪ
ინერტული	i n ɛ r tʼ u l i
ინერცია	ɪ n ɛ r t s ɪ ɑ
ინჟინერი	ɪ n ʒ ɪ n ɛ r ɪ
ინსპექტორი	ɪ n s pʼ ɛ kʰ tʼ ɔ r ɪ
ინსტიტუტი	ɪ n s tʼ ɪ tʼ u tʼ ɪ
ინსტიტუტის	ɪ n s tʼ ɪ tʼ u tʼ ɪ s
ინსტიტუტმა	ɪ n s tʼ ɪ tʼ u tʼ m ɑ
ინსტიტუტს	ɪ n s tʼ ɪ tʼ u tʼ s
ინტეგრაცია	ɪ n tʼ ɛ ɡ r ɑ t s ɪ ɑ
ინტელექტი	ɪ n tʼ ɛ l ɛ kʰ tʼ ɪ
ინტელიგენცია	ɪ n tʼ ɛ l ɪ ɡ ɛ n t s ɪ ɑ
ინტენსიური	i n tʼ ɛ n s i u r i
ინტერვენცია	ɪ n tʼ ɛ r v ɛ n t s ɪ ɑ
ინტერიერი	ɪ n tʼ ɛ r ɪ ɛ r ɪ
ინტერნეტი	ɪ n tʼ ɛ r n ɛ tʼ ɪ
ინფლაცია	ɪ n pʰ l ɑ t s ɪ ɑ
იოანე	ɪ ɔ ɑ n ɛ
იოლი	ɪ ɔ l ɪ
იონა	ɪ ɔ n ɑ
იპოვა	i pʼ ɔ v ɑ
ირანი	i r ɑ n i
ირანული	i r ɑ n u l i
ირლანდია	i r l ɑ n d i ɑ
ირლანდიური	ɪ r l ɑ n d ɪ u r ɪ
ირონია	i r ɔ n i ɑ
ირონიული	i r ɔ n i u l i
ისე	i s ɛ
ისევ	ɪ s ɛ v
ისევე	ɪ s ɛ v ɛ
ისეთი	ɪ s ɛ tʰ ɪ
ისლამური	ɪ s l ɑ m u r ɪ
ისრაელი	i s r ɑ ɛ l i
ისტორია	i s tʼ ɔ r i ɑ
ისტორიამ	ɪ s tʼ ɔ r ɪ ɑ m
ისტორიას	ɪ s tʼ ɔ r ɪ ɑ s
ისტორიით	ɪ s tʼ ɔ r ɪ ɪ tʰ
ისტორიის	ɪ s tʼ ɔ r ɪ ɪ s
ისტორიულად	ɪ s tʼ ɔ r ɪ u l ɑ d
ისტორიული	i s tʼ ɔ r i u l i
იტალიამ	ɪ tʼ ɑ l ɪ ɑ m
იტალიას	ɪ tʼ ɑ l ɪ ɑ s
იტალიელი	ɪ tʼ ɑ l ɪ ɛ l ɪ
იტალიის	ɪ tʼ ɑ l ɪ ɪ s
იტალიური	ɪ tʼ ɑ l ɪ u r ɪ
იუდაიზმი	ɪ u d ɑ ɪ z m ɪ
იუმორისტული	ɪ u m ɔ r ɪ s tʼ u l ɪ
იუნესკოს	ɪ u n ɛ s kʼ ɔ s
იუპიტერი	i u pʼ i tʼ ɛ r i
იურიდიული	ɪ u r ɪ d ɪ u l ɪ
იურისტი	ɪ u r ɪ s tʼ ɪ
იქვე	ɪ kʰ v ɛ
იქიდან	ɪ kʰ ɪ d ɑ n
იქნებ	ɪ kʰ n ɛ b
იქნება	ɪ kʰ n ɛ b ɑ
იყიდება	i qʼ i d ɛ b ɑ
იყოს	i qʼ ɔ s
იშვიათად	i ʃ v i ɑ tʰ ɑ d
იშვიათი	i ʃ v i ɑ tʰ i
იშხანი	ɪ ʃ χ ɑ n ɪ
იცით	i t s i tʰ
იძულებითი	i d z u l ɛ b i tʰ i
იწყება	i t sʼ qʼ ɛ b ɑ
იხდი	ɪ χ d ɪ
იხდიდა	ɪ χ d ɪ d ɑ
იხდის	i x d i s
იხილავს	i x i l ɑ v s
კაბა	kʼ ɑ b ɑ
კაბინეტი	kʼ ɑ b ɪ n ɛ tʼ ɪ
კავკასიამ	kʼ ɑ v kʼ ɑ s ɪ ɑ m
კავკასიელი	kʼ ɑ v kʼ ɑ s i ɛ l i
კავკასიური	kʼ ɑ v kʼ ɑ s i u r i
კავშირი	kʼ ɑ v ʃ i r i
კავშირს	kʼ ɑ v ʃ ɪ r s
კაზინო	kʼ ɑ z i n ɔ
კათედრა	kʼ ɑ tʰ ɛ d r ɑ
კათოლიკე	kʼ ɑ tʰ ɔ l ɪ kʼ ɛ
კათოლიკოსი	kʼ ɑ tʰ ɔ l ɪ kʼ ɔ s ɪ
კათოლიკური	kʼ ɑ tʰ ɔ l ɪ kʼ u r ɪ
კაი	kʼ ɑ i
კაკალი	kʼ ɑ kʼ ɑ l i
კაკოფონია	kʼ ɑ kʼ ɔ pʰ ɔ n ɪ ɑ
კალაპოტი	kʼ ɑ l ɑ pʼ ɔ tʼ i
კალენდარი	kʼ ɑ l ɛ n d ɑ r i
კამათი	kʼ ɑ m ɑ tʰ i
კამერა	kʼ ɑ m ɛ r ɑ
კამპანია	kʼ ɑ m pʼ ɑ n ɪ ɑ
კანადა	kʼ ɑ n ɑ d ɑ
კანადელი	kʼ ɑ n ɑ d ɛ l ɪ
კანდიდატი	kʼ ɑ n d i d ɑ tʼ i
კანი	kʼ ɑ n ɪ
კანიონი	kʼ ɑ n ɪ ɔ n ɪ
კანონი	kʼ ɑ n ɔ n i
კანონიერად	kʼ ɑ n ɔ n ɪ ɛ r ɑ d
კანონმდებლობა	kʼ ɑ n ɔ n m d ɛ b l ɔ b ɑ
კანონპროექტი	kʼ ɑ n ɔ n pʼ r ɔ ɛ kʰ tʼ ɪ
კანცლერი	kʼ ɑ n t s l ɛ r i
კაპიტალი	kʼ ɑ pʼ i tʼ ɑ l i
კაპიტანი	kʼ ɑ pʼ ɪ tʼ ɑ n ɪ
კაპრალი	kʼ ɑ pʼ r ɑ l ɪ
კარადა	kʼ ɑ r ɑ d ɑ
კარავი	kʼ ɑ r ɑ v i
კარგა	kʼ ɑ r ɡ ɑ
კარგად	kʼ ɑ r ɡ ɑ d
კარგავს	kʼ ɑ r ɡ ɑ v s
კარგი	kʼ ɑ r ɡ i
კარიერა	kʼ ɑ r ɪ ɛ r ɑ
კარით	kʼ ɑ r ɪ tʰ
კარის	kʼ ɑ r ɪ s
კარს	kʼ ɑ r s
კატალოგი	kʼ ɑ tʼ ɑ l ɔ ɡ ɪ
კატასტროფა	kʼ ɑ tʼ ɑ s tʼ r ɔ pʰ ɑ
კატეგორია	kʼ ɑ tʼ ɛ ɡ ɔ r ɪ ɑ
კატეგორიულად	kʼ ɑ tʼ ɛ ɡ ɔ r ɪ u l ɑ d
კატეგორიული	kʼ ɑ tʼ ɛ ɡ ɔ r ɪ u l ɪ
კაფე	kʼ ɑ pʰ ɛ
კაცად	kʼ ɑ t s ɑ d
კაცი	kʼ ɑ t s i
კაცით	kʼ ɑ t s i tʰ
კაცობრიობა	kʼ ɑ t s ɔ b r i ɔ b ɑ
კაცს	kʼ ɑ t s s
კახეთის	kʼ ɑ χ ɛ tʰ ɪ s
კახი	kʼ ɑ x i
კბილი	kʼ b i l i
კეთება	kʼ ɛ tʰ ɛ b ɑ
კეთილდღეობა	kʼ ɛ tʰ i l d ɣ ɛ ɔ b ɑ
კეთილი	kʼ ɛ tʰ i l i
კეთილსინდისიერად	kʼ ɛ tʰ ɪ l s ɪ n d ɪ s ɪ ɛ r ɑ d
კენჭი	kʼ ɛ n t ʃʼ i
კეპი	kʼ ɛ pʼ ɪ
კერავს	kʼ ɛ r ɑ v s
კერამიკული	kʼ ɛ r ɑ m ɪ kʼ u l ɪ
კერპი	kʼ ɛ r pʼ i
კერძი	kʼ ɛ r d z i
კერძო	kʼ ɛ r d z ɔ
კერძოდ	kʼ ɛ r d z ɔ d
კეტავს	kʼ ɛ tʼ ɑ v s
კვალი	kʼ v ɑ l i
კვარტალური	kʼ v ɑ r tʼ ɑ l u r ɪ
კვდება	kʼ v d ɛ b ɑ
კვერცხი	kʼ v ɛ r t s x i
კვირა	kʼ v i r ɑ
კვიცი	kʼ v i t s i
კვლავ	kʼ v l ɑ v
კვორუმი	kʼ v ɔ r u m ɪ
კი	kʼ i
კიბო	kʼ i b ɔ
კიდევ	kʼ ɪ d ɛ v
კიდულად	kʼ ɪ d u l ɑ d
კიევი	kʼ ɪ ɛ v ɪ
კითხვა	kʼ i tʰ x v ɑ
კილო	kʼ ɪ l ɔ
კილომეტრი	kʼ ɪ l ɔ m ɛ tʼ r ɪ
კინაღამ	kʼ ɪ n ɑ ʁ ɑ m
კინო	kʼ ɪ n ɔ
კლასი	kʼ l ɑ s i
კლასიკოსი	kʼ l ɑ s ɪ kʼ ɔ s ɪ
კლასიკური	kʼ l ɑ s i kʼ u r i
კლასის	kʼ l ɑ s ɪ s
კლასიფიკაცია	kʼ l ɑ s ɪ pʰ ɪ kʼ ɑ t s ɪ ɑ
კლდე	kʼ l d ɛ
კლივლენდი	kʼ l ɪ v l ɛ n d ɪ
კლიმატი	kʼ l ɪ m ɑ tʼ ɪ
კლიმატური	kʼ l ɪ m ɑ tʼ u r ɪ
კლინიკა	kʼ l ɪ n ɪ kʼ ɑ
კლინიკური	kʼ l ɪ n ɪ kʼ u r ɪ
კლუბი	kʼ l u b ɪ
კმაყოფილი	kʼ m ɑ qʼ ɔ pʰ i l i
კნუტი	kʼ n u tʼ i
კოალიცია	kʼ ɔ ɑ l ɪ t s ɪ ɑ
კობიაშვილი	kʼ ɔ b i ɑ ʃ v i l i
კოდი	kʼ ɔ d ɪ
კოეფიციენტი	kʼ ɔ ɛ pʰ i t s i ɛ n tʼ i
კოვზი	kʼ ɔ v z i
კოლორიტი	kʼ ɔ l ɔ r ɪ tʼ ɪ
კოლუმბიელი	kʼ ɔ l u m b ɪ ɛ l ɪ
კომბოსტო	kʼ ɔ m b ɔ s tʼ ɔ
კომედია	kʼ ɔ m ɛ d ɪ ɑ
კომერციული	kʼ ɔ m ɛ r t s i u l i
კომიკოსი	kʼ ɔ m ɪ kʼ ɔ s ɪ
კომიკური	kʼ ɔ m ɪ kʼ u r ɪ
კომპანია	kʼ ɔ m pʼ ɑ n ɪ ɑ
კომპენსაცია	kʼ ɔ m pʼ ɛ n s ɑ t s ɪ ɑ
კომპიუტერული	kʼ ɔ m pʼ ɪ u tʼ ɛ r u l ɪ
კომპლექსი	kʼ ɔ m pʼ l ɛ kʰ s ɪ
კომპლექსური	kʼ ɔ m pʼ l ɛ kʰ s u r i
კომპლექტი	kʼ ɔ m pʼ l ɛ kʰ tʼ ɪ
კომპოზიტორი	kʼ ɔ m pʼ ɔ z ɪ tʼ ɔ r ɪ
კომპონენტი	kʼ ɔ m pʼ ɔ n ɛ n tʼ ɪ
კომპრომატი	kʼ ɔ m pʼ r ɔ m ɑ tʼ ɪ
კომუნალური	kʼ ɔ m u n ɑ l u r ɪ
კომში	kʼ ɔ m ʃ ɪ
კონგრესი	kʼ ɔ n ɡ r ɛ s ɪ
კონიაკი	kʼ ɔ n ɪ ɑ kʼ ɪ
კონკრეტულად	kʼ ɔ n kʼ r ɛ tʼ u l ɑ d
კონკრეტული	kʼ ɔ n kʼ r ɛ tʼ u l ɪ
კონკურენცია	kʼ ɔ n kʼ u r ɛ n t s ɪ ɑ
კონსორციუმი	kʼ ɔ n s ɔ r t s ɪ u m ɪ
კონსტიტუცია	kʼ ɔ n s tʼ ɪ tʼ u t s ɪ ɑ
კონსტრუქცია	kʼ ɔ n s tʼ r u kʰ t s ɪ ɑ
კონსულტანტი	kʼ ɔ n s u l tʼ ɑ n tʼ ɪ
კონსულტაცია	kʼ ɔ n s u l tʼ ɑ t s ɪ ɑ
კონტაქტი	kʼ ɔ n tʼ ɑ kʰ tʼ ɪ
კონტექსტი	kʼ ɔ n tʼ ɛ kʰ s tʼ ɪ
კონტრაბანდა	kʼ ɔ n tʼ r ɑ b ɑ n d ɑ
კონტროლი	kʼ ɔ n tʼ r ɔ l i
კონფერენცია	kʼ ɔ n pʰ ɛ r ɛ n t s ɪ ɑ
კონფლიქტი	kʼ ɔ n pʰ l ɪ kʰ tʼ ɪ
კონცენტრაცია	kʼ ɔ n t s ɛ n tʼ r ɑ t s ɪ ɑ
კონცეპტუალურად	kʼ ɔ n t s ɛ pʼ tʼ u ɑ l u r ɑ d
კონცერტი	kʼ ɔ n t s ɛ r tʼ ɪ
კოორდინატორი	kʼ ɔ ɔ r d ɪ n ɑ tʼ ɔ r ɪ
კოორდინაცია	kʼ ɔ ɔ r d i n ɑ t s i ɑ
კორეელი	kʼ ɔ r ɛ ɛ l ɪ
კორპუსი	kʼ ɔ r pʼ u s i
კორტეჟი	kʼ ɔ r tʼ ɛ ʒ ɪ
კოსმეტიკური	kʼ ɔ s m ɛ tʼ ɪ kʼ u r ɪ
კოსმოსური	kʼ ɔ s m ɔ s u r ɪ
კოქტეილი	kʼ ɔ kʰ tʼ ɛ ɪ l ɪ
კოშკი	kʼ ɔ ʃ kʼ i
კოხტა	kʼ ɔ χ tʼ ɑ
კოჰაბიტაცია	kʼ ɔ h ɑ b i tʼ ɑ t s i ɑ
კრავი	kʼ r ɑ v i
კრება	kʼ r ɛ b ɑ
კრებული	kʼ r ɛ b u l ɪ
კრემლი	kʼ r ɛ m l i
კრეფა	kʼ r ɛ pʰ ɑ
კრივი	kʼ r ɪ v ɪ
კრისტალი	kʼ r ɪ s tʼ ɑ l ɪ
კრიტიკა	kʼ r i tʼ i kʼ ɑ
კრიტიკულად	kʼ r ɪ tʼ ɪ kʼ u l ɑ d
კრიტიკული	kʼ r ɪ tʼ ɪ kʼ u l ɪ
კუ	kʼ u
კუთვნილება	kʼ u tʰ v n ɪ l ɛ b ɑ
კუთხე	kʼ u tʰ x ɛ
კულინარია	kʼ u l ɪ n ɑ r ɪ ɑ
კულტურით	kʼ u l tʼ u r ɪ tʰ
კულტურის	kʼ u l tʼ u r ɪ s
კულტურული	kʼ u l tʼ u r u l ɪ
კუნთი	kʼ u n tʰ ɪ
კუნძული	kʼ u n d z u l i
კურდღელი	kʼ u r d ɣ ɛ l i
კურორტი	kʼ u r ɔ r tʼ i
კუჭი	kʼ u t ʃʼ i
ლაგამი	l ɑ ɡ ɑ m i
ლაგუნა	l ɑ ɡ u n ɑ
ლავა	l ɑ v ɑ
ლათინური	l ɑ tʰ i n u r i
ლამაზად	l ɑ m ɑ z ɑ d
ლამაზი	l ɑ m ɑ z i
ლამაზმანი	l ɑ m ɑ z m ɑ n ɪ
ლამის	l ɑ m ɪ s
ლანცეტი	l ɑ n t s ɛ tʼ ɪ
ლაპარაკი	l ɑ pʼ ɑ r ɑ kʼ i
ლარი	l ɑ r i
ლარისა	l ɑ r i s ɑ
ლატვია	l ɑ tʼ v i ɑ
ლაშა	l ɑ ʃ ɑ
ლაჩარი	l ɑ t ʃ ɑ r i
ლეგენდარული	l ɛ ɡ ɛ n d ɑ r u l ɪ
ლეგიონერი	l ɛ ɡ ɪ ɔ n ɛ r ɪ
ლევანი	l ɛ v ɑ n i
ლეიტენანტი	l ɛ ɪ tʼ ɛ n ɑ n tʼ ɪ
ლეტალური	l ɛ tʼ ɑ l u r ɪ
ლექსი	l ɛ kʰ s i
ლექსიკონი	l ɛ kʰ s i kʼ ɔ n i
ლექტორი	l ɛ kʰ tʼ ɔ r ɪ
ლიბერალიზმი	l ɪ b ɛ r ɑ l ɪ z m ɪ
ლიგა	l i ɡ ɑ
ლიდერობა	l i d ɛ r ɔ b ɑ
ლილი	l ɪ l ɪ
ლიმონი	l i m ɔ n i
ლინი	l ɪ n ɪ
ლიტერატურა	l ɪ tʼ ɛ r ɑ tʼ u r ɑ
ლიტერატურად	l ɪ tʼ ɛ r ɑ tʼ u r ɑ d
ლიტერატურას	l ɪ tʼ ɛ r ɑ tʼ u r ɑ s
ლიტერატურით	l ɪ tʼ ɛ r ɑ tʼ u r ɪ tʰ
ლიტერატურის	l ɪ tʼ ɛ r ɑ tʼ u r ɪ s
ლიტერატურული	l ɪ tʼ ɛ r ɑ tʼ u r u l ɪ
ლიტვა	l i tʼ v ɑ
ლიტრი	l ɪ tʼ r ɪ
ლოგიკურად	l ɔ ɡ ɪ kʼ u r ɑ d
ლოგინში	l ɔ ɡ ɪ n ʃ ɪ
ლოდი	l ɔ d i
ლოიალურად	l ɔ ɪ ɑ l u r ɑ d
ლოიალური	l ɔ ɪ ɑ l u r ɪ
ლოკალიზაცია	l ɔ kʼ ɑ l ɪ z ɑ t s ɪ ɑ
ლონდონი	l ɔ n d ɔ n ɪ
ლორი	l ɔ r ɪ
ლტოლვილი	l tʼ ɔ l v i l i
ლუდი	l u d i
ლუიზა	l u ɪ z ɑ
ლუკა	l u kʼ ɑ
ლურჯი	l u r d ʒ i
მაგ	m ɑ ɡ
მაგალითად	m ɑ ɡ ɑ l i tʰ ɑ d
მაგალითი	m ɑ ɡ ɑ l i tʰ i
მაგარი	m ɑ ɡ ɑ r i
მაგიდა	m ɑ ɡ i d ɑ
მაგიერ	m ɑ ɡ ɪ ɛ r
მაგნიტი	m ɑ ɡ n i tʼ i
მაგრა	m ɑ ɡ r ɑ
მაგრად	m ɑ ɡ r ɑ d
მაგრამ	m ɑ ɡ r ɑ m
მადაგასკარი	m ɑ d ɑ ɡ ɑ s kʼ ɑ r ɪ
მადლი	m ɑ d l i
მადლიერებით	m ɑ d l ɪ ɛ r ɛ b ɪ tʰ
მადლიერი	m ɑ d l ɪ ɛ r ɪ
მადლობა	m ɑ d l ɔ b ɑ
მადონა	m ɑ d ɔ n ɑ
მავთული	m ɑ v tʰ u l i
მავნე	m ɑ v n ɛ
მათ	m ɑ tʰ
მათთვის	m ɑ tʰ tʰ v ɪ s
მაინც	m ɑ i n t s
