աա	ɑ ɑ
ընկերություն	ə ŋ k ɛ ɾ u tʰ j u n
ընկերուհի	ə ŋ k ɛ ɾ u h i
ընկնել	ə ŋ k n ɛ l
ընտանեկան	ə n t ɑ n ɛ k ɑ n
ընտրական	ə n t ɾ ɑ k ɑ n
ընտրել	ə n t ɾ ɛ l
ընտրյալ	ə n t ɾ j ɑ l
ընտրություն	ə n t ɾ u tʰ j u n
թագավոր	tʰ ɑ kʰ ɑ v ɔ ɾ
թագավորություն	tʰ ɑ ɡ ɑ v ɔ ɾ u tʰ j u n
թագուհի	tʰ ɑ kʰ u h i
թազա	tʰ ɑ z ɑ
թաթ	tʰ ɑ tʰ
թաթար	tʰ ɑ tʰ ɑ ɾ
թաթուլ	tʰ ɑ tʰ u l
թալիբան	tʰ ɑ l i b ɑ n
թակարդ	tʰ ɑ k ɑ ɾ d
թաղ	tʰ ɑ ʁ
թաղապետ	tʰ ɑ ʁ ɑ p ɛ t
թաղել	tʰ ɑ ʁ ɛ l
թաղում	tʰ ɑ ʁ u m
թամադա	tʰ ɑ m ɑ d ɑ
թանգարան	tʰ ɑ ŋ ɡ ɑ ɾ ɑ n
թանկ	tʰ ɑ ŋ k
թանկարժեք	tʰ ɑ ŋ k ɑ ɾ ʒ ɛ kʰ
թառ	tʰ ɑ r
թավալ	tʰ ɑ v ɑ l
թավջութակ	tʰ ɑ v d͡ʒ u tʰ ɑ k
թատերական	tʰ ɑ t ɛ ɾ ɑ k ɑ n
թատրոն	tʰ ɑ t ɾ ɔ n
թարգմանել	tʰ ɑ ɾ kʰ m ɑ n ɛ l
թարգմանիչ	tʰ ɑ ɾ kʰ m ɑ n i t ʃʰ
թարմ	tʰ ɑ ɾ m
թարմացնել	tʰ ɑ ɾ m ɑ t͡sʰ n ɛ l
թաց	tʰ ɑ t͡sʰ
թափ	tʰ ɑ pʰ
թափել	tʰ ɑ pʰ ɛ l
թափուր	tʰ ɑ pʰ u ɾ
թաքնվել	tʰ ɑ kʰ n ə v ɛ l
թաքցնել	tʰ ɑ kʰ t͡sʰ ə n ɛ l
թբիլիսի	tʰ ə b i l i s i
թե	tʰ ɛ
թեեւ	tʰ ɛ j ɛ v
թեթեւ	tʰ ɛ tʰ ɛ v
թել	tʰ ɛ l
թեկնածու	tʰ ɛ k n ɑ t s u
թեկուզ	tʰ ɛ k u z
թեմ	tʰ ɛ m
թեմա	tʰ ɛ m ɑ
թեյ	tʰ ɛ j
թենեդոս	tʰ ɛ n ɛ d ɔ s
թենիս	tʰ ɛ n i s
թենիսիստ	tʰ ɛ n i s i s t
թեր	tʰ ɛ ɾ
թերթ	tʰ ɛ ɾ tʰ
թերի	tʰ ɛ ɾ i
թեւ	tʰ ɛ v
թեքել	tʰ ɛ kʰ ɛ l
թեքում	tʰ ɛ kʰ u m
թեքվել	tʰ ɛ kʰ v ɛ l
թի	tʰ i
թիթեռ	tʰ i tʰ ɛ r
թիմ	tʰ i m
թիմային	tʰ i m ɑ j i n
թիվ	tʰ i v
թիրախ	tʰ i ɾ ɑ χ
թիրախային	tʰ i ɾ ɑ χ ɑ j i n
թիքա	tʰ i kʰ ɑ
թիֆլիս	tʰ i f l i s
թխել	tʰ ə χ ɛ l
թմբկահար	tʰ ə m b k ɑ h ɑ ɾ
թյուրիմացություն	tʰ j u ɾ i m ɑ t͡sʰ u tʰ j u n
թնդանոթ	tʰ ə n d ɑ n ɔ tʰ
թշվառ	t ə ʃ v ɑ r
թողարկել	tʰ ɔ ʁ ɑ ɾ k ɛ l
թողել	tʰ ɔ ʁ ɛ l
թողնել	tʰ ɔ ʁ n ɛ l
թողություն	tʰ ɔ ʁ u tʰ j u n
թոշակառու	tʰ ɔ ʃ ɑ k ɑ r u
թոռ	tʰ ɔ r
թոռնիկ	tʰ ɔ r n i k
թովիչ	tʰ ɔ v i t͡ʃʰ
թորգոմ	tʰ o ɾ ɡ o m
թուզ	tʰ u z
թութակ	tʰ u tʰ ɑ k
թուլանալ	tʰ u l ɑ n ɑ l
թույլ	tʰ u j l
թույլատրել	tʰ u j l ɑ t ɾ ɛ l
թույլտվություն	tʰ u j l t v u tʰ j u n
թույն	tʰ u ɪ̯ n
թուր	tʰ u ɾ
թուրքիա	tʰ u ɾ kʰ j ɑ
թուրքմենական	tʰ u ɾ kʰ m ɛ n ɑ k ɑ n
թռիչք	tʰ ə r i t ʃ kʰ
թռնել	tʰ ə r n ɛ l
թռչել	tʰ ə r t ʃʰ ɛ l
թռչուն	tʰ ə r t ʃʰ u n
թվական	tʰ ə v ɑ k ɑ n
թվարկել	tʰ ə v ɑ ɾ k ɛ l
թվի	tʰ ə v i
թրամփ	tʰ ə ɾ ɑ m pʰ
թրջել	tʰ ə ɾ t͡ʃʰ ɛ l
ժամ	ʒ ɑ m
ժամանակավոր	ʒ ɑ m ɑ n ɑ k ɑ v ɔ ɾ
ժամանել	ʒ ɑ m ɑ n ɛ l
ժամանում	ʒ ɑ m ɑ n u m
ժամանց	ʒ ɑ m ɑ n t͡sʰ
ժամացույց	ʒ ɑ m ɑ t͡sʰ u j t͡sʰ
ժամկետ	ʒ ɑ m k ɛ t
ժանտ	ʒ ɑ n t
ժառանգ	ʒ ɑ r ɑ ŋ ɡ
ժառանգել	ʒ ɑ r ɑ ŋ ɡ ɛ l
ժառանգորդ	ʒ ɑ r ɑ ŋ ɡ ɔ ɾ tʰ
ժե	ʒ ɛ
ժլատ	ʒ ə l ɑ t
ժողով	ʒ ɔ ʁ ɔ v
ժողովածու	ʒ ɔ ʁ ɔ v ɑ t͡s u
ժողովուրդ	ʒ ɔ ʁ ɔ v u ɾ tʰ
ժողովրդական	ʒ o ʁ o v ə ɾ tʰ ɑ k ɑ n
ժողովրդավարական	ʒ ɔ ʁ ɔ v ə ɾ tʰ ɑ v ɑ ɾ ɑ k ɑ n
ժողովրդավարություն	ʒ ɔ ʁ ɔ v ə ɾ tʰ ɑ v ɑ ɾ u tʰ j u n
ժուռնալիստ	ʒ u r n ɑ l i s t
իբր	i pʰ ə ɾ
իգական	i kʰ ɑ k ɑ n
իզոտոպ	i z o t o p
իիհ	i i h ə
իլհամ	i l h ɑ m
իմանալ	i m ɑ n ɑ l
իմաստություն	i m ɑ s t u t sʰ j u n
իմաստուն	i m ɑ s t u n
ինադ	i n ɑ d
ինադու	i n ɑ d u
ինգա	i ŋ ɡ ɑ
ինձ	i n d͡z
ինձնից	i n d z n i t sʰ
ինձնով	i n d z n o v
իններորդ	i nː ɛ ɾ o ɾ tʰ
իննսուն	i nː ə s u n
ինչ	i n t͡ʃʰ
ինչի	i n t͡ʃʰ i
ինչու	i n t͡ʃʰ u
ինչպես	i n t͡ʃʰ p ɛ s
ինստագրամ	i n s t ɑ ɡ ɾ ɑ m
ինստիտուտ	i n s t i t u t
ինտելիգենցիա	i n t ɛ l i ɡ ɛ n t͡sʰ j ɑ
ինտերնետ	i n t ɛ ɾ n ɛ t
ինտերնետային	i n t ɛ ɾ n ɛ t ɑ j i n
ինքը	i ŋ kʰ ə
ինքն	i ŋ kʰ ə n
ինքնաթիռ	i ŋ kʰ n ɑ tʰ i r
ինքնասպանություն	i ŋ kʰ n ɑ s p ɑ n u t͡sʰ j u n
ինքնավար	i ŋ kʰ n ɑ v ɑ ɾ
ինքնին	i ŋ kʰ n i n
ինքնություն	i ŋ kʰ n u tʰ j u n
իշխան	i ʃ χ ɑ n
իշխանափոխություն	i ʃ χ ɑ n ɑ pʰ ɔ χ u tʰ j u n
իշխանյան	i ʃ χ ɑ n j ɑ n
իռացիոնալ	i r ɑ t͡sʰ i ɔ n ɑ l
իռլանդացի	i r l ɑ n d ɑ t͡sʰ i
իսահակ	i s ɑ h ɑ k
իսլամ	i s l ɑ m
իսլամական	i s l ɑ m ɑ k ɑ n
իսլանդիա	i s l ɑ n d j ɑ
իսկ	i s k
իսկական	i s k ɑ k ɑ n
իսկապես	i s k ɑ p ɛ s
իսկույն	i s k u j n
իսմայիլի	i s m ɑ j i l i
իսպանական	i s p ɑ n ɑ k ɑ n
իսպանացի	i s p ɑ n ɑ t͡sʰ i
իսպաներեն	i s p ɑ n ɛ ɾ ɛ n
իսպանիա	i s p ɑ n j ɑ
իսպառ	i s p ɑ r
իսրայել	i s ɾ ɑ j ɛ l
իվան	i v ɑ n
իտալացի	i t ɑ l ɑ t͡sʰ i
իտալիա	i t ɑ l j ɑ
իր	i ɾ
իրադարձություն	i ɾ ɑ d ɑ ɾ t͡sʰ u tʰ j u n
իրազեկ	i ɾ ɑ z ɛ k
իրական	i ɾ ɑ k ɑ n
իրականացնել	i ɾ ɑ k ɑ n ɑ t͡sʰ n ɛ l
իրականում	i ɾ ɑ k ɑ n u m
իրան	i ɾ ɑ n
իրավ	i ɾ ɑ v
իրավամբ	i ɾ ɑ v ɑ m pʰ
իրավունք	i ɾ ɑ v u ŋ kʰ
իրարանցում	i ɾ ɑ ɾ ɑ n t͡sʰ u m
իրաք	i ɾ ɑ kʰ
իրենք	i ɾ ɛ ŋ kʰ
իրիկուն	i ɾ i k u n
իրողություն	i ɾ ɔ ʁ u tʰ j u n
իրոք	i ɾ o kʰ
լազերային	l ɑ z ɛ ɾ ɑ j i n
լայն	l ɑ j n
լավ	l ɑ v
լատինական	l ɑ t i n ɑ k ɑ n
լատիներեն	l ɑ t i n ɛ ɾ ɛ n
լարի	l ɑ ɾ i
լարում	l ɑ ɾ u m
լեզու	l ɛ z u
լեզվաբան	l ɛ z v ɑ b ɑ n
լեհ	l ɛ h
լեհական	l ɛ h ɑ k ɑ n
լեյտենանտ	l ɛ j t ɛ n ɑ n t
լեռնագնաց	l ɛ r n ɑ ɡ ə n ɑ t͡sʰ
լեռնային	l ɛ r n ɑ j i n
լեւոն	l ɛ v ɔ n
լիագումար	l i j ɑ ɡ u m ɑ ɾ
լիազոր	l j ɑ z ɔ ɾ
լիազորագիր	l j ɑ z ɔ ɾ ɑ ɡ i ɾ
լիազորել	l j ɑ z ɔ ɾ ɛ l
լիազորություն	l j ɑ z ɔ ɾ u tʰ j u n
լիազորված	l j ɑ z ɔ ɾ v ɑ t͡s
լիանա	l j ɑ n ɑ
լիարժեք	l j ɑ ɾ ʒ ɛ kʰ
լիբանան	l i b ɑ n ɑ n
լիգա	l i ɡ ɑ
լիճ	l i t͡ʃ
լինել	l i n ɛ l
լիովին	l i ɔ v i n
լիուլի	l i u l i
լիտր	l i t ə ɾ
լիր	l i ɾ
լկտի	l ə k t i
լղհ	l ə ʁ ə h ə
լճաշեն	l ə t͡ʃ ɑ ʃ ɛ n
լոգանք	l ɔ ɡ ɑ ŋ kʰ
լոգարան	l ɔ ɡ ɑ ɾ ɑ n
լոկ	l o k
լող	l ɔ ʁ
լողալ	l ɔ ʁ ɑ l
լոնդոն	l ɔ n d ɔ n
լոռի	l ɔ r i
լոս	l o s
լորի	l ɔ ɾ i
լորձ	l ɔ ɾ d͡z
լու	l u
լուծել	l u t͡s ɛ l
լուծում	l u t͡s u m
լումա	l u m ɑ
լույս	l u j s
լուռ	l u r
լուսանկար	l u s ɑ n ə k ɑ ɾ
լուսանկարել	l u s ɑ n ə k ɑ ɾ ɛ l
լուսանկարիչ	l u s ɑ n ə k ɑ ɾ i t͡ʃʰ
լուսավոր	l u s ɑ v ɔ ɾ
լուսին	l u s i n
լուսինե	l u s i n ɛ
լուսնկա	l u s ə n k ɑ
լուվական	l u v ɑ k ɑ n
լուր	l u ɾ
լուրեր	l u ɾ ɛ ɾ
լուրջ	l u ɾ d͡ʒ
լուցկի	l u t͡sʰ k i
լռություն	l ə r u tʰ j u n
լսել	l ə s ɛ l
լվանալ	l ə v ɑ n ɑ l
լվով	l v ɔ v
լրագրող	l ə ɾ ɑ ɡ ə ɾ ɔ ʁ
լրահոս	l ə ɾ ɑ h ɔ s
լրատու	l ə ɾ ɑ t u
լրացնել	l ə ɾ ɑ t͡sʰ n ɛ l
լրիվ	l ə ɾ i v
լրտես	l ə ɾ t ɛ s
լցնել	l ə t͡sʰ n ɛ l
խաբար	χ ɑ b ɑ ɾ
խախտել	χ ɑ χ t ɛ l
խաղ	χ ɑ ʁ
խաղաթուղթ	χ ɑ ʁ ɑ tʰ u χ tʰ
խաղալ	χ ɑ ʁ ɑ l
խաղալիք	χ ɑ ʁ ɑ l i kʰ
խաղաղ	χ ɑ ʁ ɑ ʁ
խաղաղություն	χ ɑ ʁ ɑ ʁ u tʰ j u n
խաղամոլ	χ ɑ ʁ ɑ m o l
խաղող	χ ɑ ʁ ɔ ʁ
խամոն	χ ɑ m ɔ n
խայտառակություն	χ ɑ j t ɑ r ɑ k u tʰ j u n
խանդավառ	χ ɑ n d ɑ v ɑ r
խանդոտ	χ ɑ n d ɔ t
խանութ	χ ɑ n u tʰ
խաշ	χ ɑ ʃ
խաչ	χ ɑ t͡ʃʰ
խաչատուր	χ ɑ t͡ʃʰ ɑ t u ɾ
խաչիկ	χ ɑ t͡ʃʰ i k
խաչմերուկ	χ ɑ t͡ʃʰ m ɛ ɾ u k
խառնել	χ ɑ r n ɛ l
խառնուրդ	χ ɑ r n u ɾ tʰ
խավար	χ ɑ v ɑ ɾ
խարիսխ	χ ɑ ɾ i s χ
խարույկ	χ ɑ ɾ u j k
խելագար	χ ɛ l ɑ ɡ ɑ ɾ
խելացի	χ ɛ l ɑ t sʰ i
խելոք	χ ɛ l o kʰ
խելք	χ ɛ l kʰ
խեղդել	χ ɛ χ t ɛ l
խենթ	χ ɛ n tʰ
խզել	χ ə z ɛ l
խթան	χ ə tʰ ɑ n
խթանել	χ ə tʰ ɑ n ɛ l
խի	χ i
խիզախ	χ i z ɑ χ
խիղճ	χ i χ t͡ʃ
խինդ	χ i n d
խիտ	χ i t
խմած	χ ə m ɑ t s
խմբագրել	x ə m b ɑ ɡ ɾ ɛ l
խմբաքանակ	χ ə m b ɑ kʰ ɑ n ɑ k
խմել	χ ə m ɛ l
խմիչք	χ ə m i t͡ʃʰ kʰ
խնամք	χ ə n ɑ m kʰ
խնայել	χ ə n ɑ j ɛ l
խնդրանք	χ ə n tʰ ɾ ɑ ŋ kʰ
խնդրեմ	χ ə n tʰ ɾ ɛ m
խնձոր	χ ə n d͡z ɔ ɾ
խոհանոց	χ ɔ h ɑ n ɔ t͡sʰ
խոհարար	χ o h ɑ ɾ ɑ ɾ
խոհարարական	χ ɔ h ɑ ɾ ɑ ɾ ɑ k ɑ n
խոհեմ	χ ɔ h ɛ m
խոնավ	χ ɔ n ɑ v
խոնավանալ	χ ɔ n ɑ v ɑ n ɑ l
խոնարհում	χ ɔ n ɑ ɾ u m
խոշոր	χ ɔ ʃ ɔ ɾ
խոշտանգել	χ ɔ ʃ t ɑ ŋ ɡ ɛ l
խոչընդոտ	χ ɔ t͡ʃʰ ə n d ɔ t
խոչընդոտել	χ ɔ t͡ʃʰ ə n d ɔ t ɛ l
խոպան	χ ɔ p ɑ n
խոսել	χ ɔ s ɛ l
խոսնակ	χ ɔ s n ɑ k
խոսուն	χ ɔ s u n
խոստանալ	χ ɔ s t ɑ n ɑ l
խոստում	χ ɔ s t u m
խոսրով	χ ɔ s ɾ ɔ v
խոսք	χ ɔ s kʰ
խոտ	χ ɔ t
խոր	χ ɔ ɾ
խորամանկ	χ o ɾ ɑ m ɑ ŋ k
խորանարդ	χ ɔ ɾ ɑ n ɑ ɾ tʰ
խորեն	χ o ɾ ɛ n
խորենացի	χ o ɾ ɛ n ɑ t sʰ i
խորը	χ o ɾ ə
խորթ	χ o ɾ tʰ
խորհել	χ o ɾ h ɛ l
խորհուրդ	χ ɔ ɾ u ɾ tʰ
խորհրդանիշ	χ ɔ ɾ ə ɾ tʰ ɑ n i ʃ
խորհրդանշական	χ ɔ ɾ ə ɾ tʰ ɑ n ə ʃ ɑ k ɑ n
խորհրդանշել	χ ɔ ɾ ə ɾ tʰ ɑ n ə ʃ ɛ l
խորհրդավոր	χ ɔ ɾ ə ɾ tʰ ɑ v ɔ ɾ
խորհրդարանական	χ ɔ ɾ ə ɾ tʰ ɑ ɾ ɑ n ɑ k ɑ n
խորն	χ o ɾ n
խորոված	χ ɔ ɾ ɔ v ɑ t͡s
խորվաթ	χ o ɾ v ɑ tʰ
խորտակել	χ ɔ ɾ t ɑ k ɛ l
խուզել	χ u z ɛ l
խուլ	χ u l
խուճապ	χ u t͡ʃ ɑ p
խումբ	χ u m b
խուսափել	χ u s ɑ pʰ ɛ l
խուց	χ u t͡sʰ
խստիվ	χ ə s t i v
խտրականություն	χ ə t ɾ ɑ k ɑ n u tʰ j u n
խրախուսել	χ ə ɾ ɑ χ u s ɛ l
խրթին	χ ə ɾ tʰ i n
խրոխտ	χ ə ɾ ɔ χ t
խրոխտանք	χ ə ɾ ɔ χ t ɑ ŋ kʰ
խփել	χ ə pʰ ɛ l
ծագել	t͡s ɑ kʰ ɛ l
ծագում	t͡s ɑ kʰ u m
ծախ	t͡s ɑ χ
ծախսային	t͡s ɑ χ s ɑ j i n
ծախսում	t͡s ɑ χ s u m
ծախսվել	t͡s ɑ χ s v ɛ l
ծախված	t͡s ɑ χ v ɑ t͡s
ծախվել	t͡s ɑ χ v ɛ l
ծածանել	t͡s ɑ t͡s ɑ n ɛ l
ծաղիկ	t͡s ɑ ʁ i k
ծաղկունք	t s ɑ ʁ k u n kʰ
ծաղրել	t͡s ɑ ʁ ɾ ɛ l
ծայրահեղ	t͡s ɑ j ɾ ɑ h ɛ ʁ
ծայրահեղական	t͡s ɑ j ɾ ɑ h ɛ ʁ ɑ k ɑ n
ծանոթ	t͡s ɑ n ɔ tʰ
ծանոթացնել	t͡s ɑ n o tʰ ɑ t͡sʰ n ɛ l
ծանոթություն	t͡s ɑ n ɔ tʰ u tʰ j u n
ծանրորդ	c ɑ n ɾ o ɾ tʰ
ծանրություն	t s ɑ n ɾ u tʰ j u n
ծառ	t͡s ɑ r
ծառուկյան	t͡s ɑ r u k j ɑ n
ծավալել	t͡s ɑ v ɑ l ɛ l
ծարավ	t s ɑ ɾ ɑ v
ծափահարել	t͡s ɑ pʰ ɑ h ɑ ɾ ɛ l
ծափահարում	t͡s ɑ pʰ ɑ h ɑ ɾ u m
ծեծ	t͡s ɛ t͡s
ծեծել	t͡s ɛ t͡s ɛ l
ծեր	t͡s ɛ ɾ
ծերություն	t͡s ɛ ɾ u t͡sʰ j u n
ծիածան	t͡s i j ɑ t͡s ɑ n
ծիծ	t͡s i t͡s
ծիծաղ	t͡s i t͡s ɑ ʁ
ծիծաղել	t͡s i t͡s ɑ ʁ ɛ l
ծիրան	t͡s i ɾ ɑ n
ծիրանի	t͡s i ɾ ɑ n i
ծխախոտ	t͡s ə χ ɑ χ ɔ t
ծխել	t s ə χ ɛ l
ծծել	t͡s ə t͡s ɛ l
ծղուկ	t͡s ə ʁ u k
ծնել	t͡s ə n ɛ l
ծնող	t͡s ə n o ʁ
ծնված	t͡s ə n v ɑ t͡s
ծնվել	t͡s ə n v ɛ l
ծոմ	t͡s ɔ m
ծով	t͡s ɔ v
ծովեզերք	t͡s ɔ v ɛ z ɛ ɾ kʰ
ծուխ	t͡s u χ
ծուռ	t͡s u r
ծրագիր	t͡s ə ɾ ɑ ɡ i ɾ
ծրագրավորել	t͡s ə ɾ ɑ ɡ ɾ ɑ v ɔ ɾ ɛ l
ծրագրավորում	t͡s ə ɾ ɑ ɡ ɾ ɑ v ɔ ɾ u m
կադրային	k ɑ d ɾ ɑ j i n
կազմ	k ɑ z m
կազմակերպել	k ɑ z m ɑ k ɛ ɾ p ɛ l
կազմակերպիչ	k ɑ z m ɑ k ɛ ɾ p i t͡ʃʰ
կազմակերպություն	k ɑ z m ɑ k ɛ ɾ p u tʰ j u n
կազմակերպում	k ɑ z m ɑ k ɛ ɾ p u m
կազմավորել	k ɑ z m ɑ v ɔ ɾ ɛ l
կազմավորում	k ɑ z m ɑ v ɔ ɾ u m
կազմավորվել	k ɑ z m ɑ v ɔ ɾ v ɛ l
կազմել	k ɑ z m ɛ l
կաթ	k ɑ tʰ
կաթոլիկ	k ɑ tʰ ɔ l i k
կաթողիկոս	k ɑ tʰ ɔ ʁ i k ɔ s
կալկաթա	k ɑ l k ɑ tʰ ɑ
կալվածք	k ɑ l v ɑ t s kʰ
կախ	k ɑ χ
կախաղան	k ɑ χ ɑ ʁ ɑ n
կախարդական	k ɑ χ ɑ ɾ d ɑ k ɑ n
կախարդվածություն	k ɑ χ ɑ ɾ d v ɑ t͡s u tʰ j u n
կախել	k ɑ χ ɛ l
կախվածություն	k ɑ χ v ɑ t͡s u tʰ j u n
կախվել	k ɑ χ v ɛ l
կահիրե	k ɑ h i ɾ ɛ
կաղամբ	k ɑ ʁ ɑ m b
կաղապար	k ɑ ʁ ɑ p ɑ ɾ
կամ	k ɑ m
կամա	k ɑ m ɑ
կամակոր	k ɑ m ɑ k ɔ ɾ
կամավոր	k ɑ m ɑ v ɔ ɾ
կամուրջ	k ɑ m u ɾ d͡ʒ
կամք	k ɑ m kʰ
կայանալ	k ɑ j ɑ n ɑ l
կայանում	k ɑ j ɑ n u m
կային	k ɑ j i n
կայուն	k ɑ j u n
կայսր	k ɑ j s ə ɾ
կայսրություն	k ɑ j s ɾ u tʰ j u n
կայք	k ɑ j kʰ
կան	k ɑ n
կանադական	k ɑ n ɑ d ɑ k ɑ n
կանաչ	k ɑ n ɑ t͡ʃʰ
կանաչապատ	k ɑ n ɑ t͡ʃʰ ɑ p ɑ t
կանգառ	k ɑ ŋ ɡ ɑ r
կանգնել	k ɑ ŋ ɡ n ɛ l
կանգնեցնել	k ɑ ŋ ɡ n ɛ t͡sʰ n ɛ l
կանգուն	k ɑ ŋ ɡ u n
կանխատեսել	k ɑ ŋ χ ɑ t ɛ s ɛ l
կանխել	k ɑ ŋ χ ɛ l
կանոնավոր	k ɑ n ɔ n ɑ v ɔ ɾ
կանուխ	k ɑ n u χ
կանչ	k ɑ n t͡ʃʰ
կանչել	k ɑ n t͡ʃʰ ɛ l
կաշառել	k ɑ ʃ ɑ r ɛ l
կաշառված	k ɑ ʃ ɑ r v ɑ t͡s
կաշառք	k ɑ ʃ ɑ r kʰ
կաշկանդել	k ɑ ʃ k ɑ n d ɛ l
կաչաղակ	k ɑ t͡ʃʰ ɑ ʁ ɑ k
կապան	k ɑ p ɑ n
կապել	k ɑ p ɛ l
կապիկ	k ɑ p i k
կապիտալիստական	k ɑ p i t ɑ l i s t ɑ k ɑ n
կապիտոլիում	k ɑ p i t ɔ l i j u m
կապված	k ɑ p v ɑ t͡s
կապվել	k ɑ p v ɛ l
կառավարել	k ɑ r ɑ v ɑ ɾ ɛ l
կառավարիչ	k ɑ r ɑ v ɑ ɾ i t͡ʃʰ
կառավարություն	k ɑ r ɑ v ɑ ɾ u tʰ j u n
կառավարում	k ɑ r ɑ v ɑ ɾ u m
կառույց	k ɑ r u j t͡sʰ
կառուցել	k ɑ r u t͡sʰ ɛ l
կառուցողական	k ɑ r u t͡sʰ ɔ ʁ ɑ k ɑ n
կառուցվածք	k ɑ r u t͡sʰ v ɑ t͡s kʰ
կաս	k ɑ s
կասեցնել	k ɑ s ɛ t͡sʰ n ɛ l
կասկածել	k ɑ s k ɑ t͡s ɛ l
կասկածյալ	k ɑ s k ɑ t͡s j ɑ l
կասպարյան	k ɑ s p ɑ ɾ j ɑ n
կաստայական	k ɑ s t ɑ j ɑ k ɑ n
կավեղեն	k ɑ v ɛ ʁ ɛ n
կատակ	k ɑ t ɑ k
կատակել	k ɑ t ɑ k ɛ l
կատաղի	k ɑ t ɑ ʁ i
կատաղություն	k ɑ t ɑ ʁ u tʰ j u n
կատաստրոֆա	k ɑ t ɑ s t ɾ ɔ f ɑ
կատար	k ɑ t ɑ ɾ
կատարել	k ɑ t ɑ ɾ ɛ l
կատարյալ	k ɑ t ɑ ɾ j ɑ l
կատեգորիա	k ɑ t ɛ ɡ o ɾ ɪ ɑ
կատու	k ɑ t u
կար	k ɑ ɾ
կարագ	k ɑ ɾ ɑ kʰ
կարանտին	k ɑ ɾ ɑ n t i n
կարապ	k ɑ ɾ ɑ p
կարապետ	k ɑ ɾ ɑ p ɛ t
կարապետյան	k ɑ ɾ ɑ p ɛ t j ɑ n
կարգ	k ɑ ɾ kʰ
կարգադրել	k ɑ ɾ kʰ ɑ d ɾ ɛ l
կարգավիճակ	k ɑ ɾ kʰ ɑ v i t͡ʃ ɑ k
կարդալ	k ɑ ɾ tʰ ɑ l
կարել	k ɑ ɾ ɛ l
կարելի	k ɑ ɾ ɛ l i
կարեկցել	k ɑ ɾ ɛ k t͡sʰ ɛ l
կարեն	k ɑ ɾ ɛ n
կարեւոր	k ɑ ɾ ɛ v ɔ ɾ
կարիճ	k ɑ ɾ i t͡ʃ
կարծել	k ɑ ɾ t͡s ɛ l
կարծիք	k ɑ ɾ t͡s i kʰ
կարկուտ	k ɑ ɾ k u t
կարճաժամկետ	k ɑ ɾ t͡ʃ ɑ ʒ ɑ m k ɛ t
կարճամետրաժ	k ɑ ɾ t͡ʃ ɑ m ɛ t ɾ ɑ ʒ
կարո	k ɑ ɾ ɔ
կարող	k ɑ ɾ ɔ ʁ
կարողանալ	k ɑ ɾ o ʁ ɑ n ɑ l
կարոտ	k ɑ ɾ ɔ t
կարոտել	k ɑ ɾ ɔ t ɛ l
կարս	k ɑ ɾ s
կարտոֆիլ	k ɑ ɾ t ɔ f i l
կաֆե	k ɑ f ɛ
կգան	k ə ɡ ɑ n
կելտական	k ɛ l t ɑ k ɑ n
կեղեքել	k ɛ ʁ ɛ kʰ ɛ l
կեղծ	k ɛ χ t͡s
կեղծիք	k ɛ χ t͡s i kʰ
կեղտոտ	k ɛ χ t ɔ t
կեն	k ɛ n
կենարար	k ɛ n ɑ ɾ ɑ ɾ
կենդանաբանություն	k ɛ n tʰ ɑ n ɑ b ɑ n u tʰ j u n
կենդանակերպի	k ɛ n tʰ ɑ n ɑ k ɛ ɾ p i
կենդանանալ	k ɛ n tʰ ɑ n ɑ n ɑ l
կենդանի	k ɛ n tʰ ɑ n i
կենսական	k ɛ n s ɑ k ɑ n
կենսունակ	k ɛ n s u n ɑ k
կենտրոն	k ɛ n t ɾ ɔ n
կենտրոնական	k ɛ n t ɾ ɔ n ɑ k ɑ n
կենցաղ	k ɛ n t͡sʰ ɑ ʁ
կետ	k ɛ t
կեր	k ɛ ɾ
կերակուր	k ɛ ɾ ɑ k u ɾ
կերակրել	k ɛ ɾ ɑ k ə ɾ ɛ l
կերպար	k ɛ ɾ p ɑ ɾ
կերտել	k ɛ ɾ t ɛ l
կեցցե	k ɛ t͡sʰː ɛ
կզակ	k ə z ɑ k
կը	ɡ ə
կըհ	k ə ə h ə
կիթառ	k i tʰ ɑ r
կիլո	k i l o
կիլոգրամ	k i l ɔ ɡ ɾ ɑ m
կիլոմետր	k i l ɔ m ɛ t ə ɾ
կին	k i n
կինո	k i n ɔ
կիպրոս	k i p ɾ o s
կիսապաշտպան	k i s ɑ p ɑ ʃ t p ɑ n
կիսել	k i s ɛ l
կիրակի	k i ɾ ɑ k i
կիրակնօրյա	k i ɾ ɑ k n ɔ ɾ j ɑ
կիրառել	k i ɾ ɑ r ɛ l
կիրառվել	k i ɾ ɑ r v ɛ l
կիրթ	k i ɾ tʰ
կիրք	k i ɾ kʰ
կից	k i t͡sʰ
կլարա	k l ɑ ɾ ɑ
կլոր	k ə l ɔ ɾ
կլորավուն	k ə l ɔ ɾ ɑ v u n
կլրտոց	k ə l ə ɾ t o t͡sʰ
կծել	k ə t s ɛ l
կծու	k ə t͡s u
կղզի	k ə ʁ z i
կղզիներ	k ə ʁ z i n ɛ ɾ
կյանք	k j ɑ ŋ kʰ
կնիք	k ə n i kʰ
կնքել	k ə n kʰ ɛ l
կշռադատել	k ə ʃ r ɑ d ɑ t ɛ l
